,,,,,,,,,,,
,,,,,,,,,,,
Row Labels,Min of PREV.READING,Max of CURRENTREADING,Sum of TOTALKM,,,,,,,,AAA
203,805,891,86,,203,805,891,86,,86,0
579352,600,690,90,,579352,600,690,90,,90,0
581332,701,779,78,,581332,701,779,78,,78,0
582804,650,734,159,,582804,650,734,159,,84,75
CAN,0,0,0,,CAN,0,0,0,,0,0
HYUNDAI-IFM,0,0,0,,HYUNDAI-IFM,0,0,0,,0,0
KA25AA1641,230249,233878,3629,,KA25AA1641,230249,233878,3629,,3629,0
KA25AA1642,291040,295659,4619,,KA25AA1642,291040,295659,4619,,4619,0
KA25AA1643,263913,266120,2207,,KA25AA1643,263913,266120,2207,,2207,0
KA25AA1644,209375,211927,2552,,KA25AA1644,209375,211927,2552,,2552,0
KA25AA1645,357959,361185,3226,,KA25AA1645,357959,361185,3226,,3226,0
KA25AA1646,305693,311645,5952,,KA25AA1646,305693,311645,5952,,5952,0
KA25AA1647,125960,132145,6185,,KA25AA1647,125960,132145,6185,,6185,0
KA25AA1648,61607,64100,2493,,KA25AA1648,61607,64100,2493,,2493,0
KA25AA1649,309675,312740,3065,,KA25AA1649,309675,312740,3065,,3065,0
KA25AA1650,242814,247686,4872,,KA25AA1650,242814,247686,4872,,4872,0
KA25AA1651,109367,111703,2336,,KA25AA1651,109367,111703,2336,,2336,0
KA25AA1756,305743,307675,1932,,KA25AA1756,305743,307675,1932,,1932,0
KA25AA1757,515770,516697,927,,KA25AA1757,515770,516697,927,,927,0
KA25AA7672,135135,136793,1658,,KA25AA7672,135135,136793,1658,,1658,0
KA25AA7674,320804,323294,2490,,KA25AA7674,320804,323294,2490,,2490,0
KA25AB7980,116763,121289,4526,,KA25AB7980,116763,121289,4526,,4526,0
KA25AB7981,128260,131023,2763,,KA25AB7981,128260,131023,2763,,2763,0
KA25AB7982,136665,139189,2524,,KA25AB7982,136665,139189,2524,,2524,0
KA25AB7983,132319,136606,4287,,KA25AB7983,132319,136606,4287,,4287,0
KA25AB7984,143891,148256,4365,,KA25AB7984,143891,148256,4365,,4365,0
KA25AB7985,115729,119767,4038,,KA25AB7985,115729,119767,4038,,4038,0
KA25AB7986,119589,123767,4178,,KA25AB7986,119589,123767,4178,,4178,0
KA25AB7987,141097,144779,3682,,KA25AB7987,141097,144779,3682,,3682,0
KA25AB7988,139010,143839,4829,,KA25AB7988,139010,143839,4829,,4829,0
KA25AB7989,131935,136658,4723,,KA25AB7989,131935,136658,4723,,4723,0
KA25AC0057,90384,97487,7103,,KA25AC0057,90384,97487,7103,,7103,0
KA25AC0058,105683,109053,3370,,KA25AC0058,105683,109053,3370,,3370,0
KA25AC0452,113760,119135,5375,,KA25AC0452,113760,119135,5375,,5375,0
KA25AC0453,75395,82489,7094,,KA25AC0453,75395,82489,7094,,7094,0
KA25AC3423,11153,13504,2351,,KA25AC3423,11153,13504,2351,,2351,0
MH04MH3731,47602,51949,4347,,MH04MH3731,47602,51949,4347,,4347,0
MH04MH3732,21725,23806,2081,,MH04MH3732,21725,23806,2081,,2081,0
MH04MH3734,24204,26043,1839,,MH04MH3734,24204,26043,1839,,1839,0
