,,,,,,,
,,,,,,,
,YES FULES,,,,,,
,Sr. No,Date,Invoice No,Diesel Qty.,Rate,Amount,Invoice Amount
,1,,,,90.61,0,0
,2,,,,90.61,0,0
,3,,,,90.61,0,0
,4,,,,90.61,0,0
,5,,,,90.61,0,0
,6,,,,90.61,0,0
,7,,,,90.61,0,0
,8,,,,90.61,0,0
,9,,,,90.61,0,0
,10,,,,90.61,0,0
,11,,,,90.61,0,
,12,,,,90.61,0,0
,13,,,,90.61,0,0
,14,,,,90.61,0,0
,15,,,,90.61,0,0
,16,,,,90.61,0,0
,17,,,,90.61,0,0
,18,,,,90.61,0,0
,19,,,,90.61,0,0
,20,,,,90.61,0,0
,21,,,,90.61,0,0
,22,,,,90.61,0,0
,23,,,,90.61,0,0
,24,,,,90.61,0,0
,25,,,,90.61,0,0
,26,,,,90.61,0,0
,27,,,,90.61,0,0
,28,,,,90.61,0,0
,29,,,,90.61,0,0
,30,,,,90.61,0,0
,31,,,,90.61,0,0
,32,,,,90.61,0,0
,33,,,,90.61,0,0
,34,,,,90.61,0,0
,35,,,,90.61,0,0
,36,,,,90.61,0,0
,37,,,,90.61,0,0
,38,,,,90.61,0,0
,39,,,,90.61,0,0
,40,,,,90.61,0,0
,41,,,,90.61,0,0
,42,,,,90.61,0,0
,43,,,,90.61,0,0
,44,,,,90.61,0,0
,,,,,,,0
