,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,SHUBHAM PETROLEUM,,,,,,,,,,,,,,,,
,Sr. No,Invoice No,Company ,Qty.,Rate,Amount,,,,,,,,,,,
,1,,BAJAJ CHAKAN,,90.64,0,,,,,,,,,,,
,,,BAJAJ CHAKAN-VENDER,,90.64,0,,,,,,,,,,,
,,,LEAR-CHAKAN,,90.64,0,,,,,,,,,,,
,,,VW,,90.64,0,,,,,,,,,,,
,,,MITSUBISHI,,90.64,0,,,,,,,,,,,
,,CNG,BAJAJ CHAKAN,,90.75,0,,,,,,,,,,,
,,PETROL,BAJAJ CHAKAN,,104.11,0,,,,,,,,,,,
,,,TOTAL,0,,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,2,,BAJAJ CHAKAN,,90.64,0,,,,,,,,,,,
,,,BAJAJ CHAKAN-VENDER,,90.64,0,,,,,,,,,,,
,,,LEAR-CHAKAN,,90.64,0,,,,,,,,,,,
,,,JCB,,90.64,0,,,,,,,,,,,
,,,VW,,90.64,0,,,,,,,,,,,
,,CNG,BAJAJ CHAKAN,,90.75,0,,,,,,,,,,,
,,PETROL,BAJAJ CHAKAN,,104.11,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,TOTAL,0,,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,3,,BAJAJ CHAKAN,,90.64,0,,,,,,,,,,,
,,,BAJAJ CHAKAN-VENDER,,90.64,0,,,,,,,,,,,
,,,LEAR-CHAKAN,,90.64,0,,,,,,,,,,,
,,,JCB,,90.64,0,,,,,,,,,,,
,,,VW,,90.64,0,,,,,,,,,,,
,,,MITSUBISHI,,90.64,0,,,,,,,,,,,
,,CNG,BAJAJ CHAKAN,,90.75,0,,,,,,,,,,,
,,PETROL,BAJAJ CHAKAN,,104.11,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,TOTAL,0,,0,,,,,,,,,,,
